distance;"mean velocity";"mean acceleration";"max velocity";"max acceleration";type
1185.0528457275;1.4210417790975;1.0212441944555;3.1376728350551;3.1819884075823;walk
78774.223443298;3.7473201655551;1.4476655738748;20.541693670612;20.54168317858;bike
3431.8439241465;1.5687376617762;1.1489535727492;10.841303926599;10.913544844991;walk
2599.5553415521;1.4440331872275;0.95593800149845;11.551205302982;11.75154041247;walk
1955.1171800057;1.671203439129;1.1687312273886;4.7281805310403;3.7226077814314;walk
13049.772996972;11.930514676193;9.0713598942327;35.253715676629;28.537421013237;car
2705.1351962726;9.7503637582901;7.6272832307013;18.51471312918;16.916684682204;car
2773.7890166791;8.0995293230755;5.8915256160508;14.53943238542;18.795934666857;car
3817.4223760933;10.105202501255;14.81197332569;26.321347315795;43.994198846389;car
2310.7777312688;9.7538857035282;7.5325915427824;15.613733478934;20.240156044169;car
7663.0193404274;12.923162670293;13.661695129552;28.869730083537;54.305107105633;car
3207.2971481646;1.5998434709015;1.1989193290398;24.889010679357;24.914258430087;walk
1876.9399080633;8.5521625405131;9.7380405081052;20.38073950415;23.597675216983;bus
1544.5087270913;7.8592648390808;9.9803970189718;30.201659580475;43.170161686053;bus
2449.4164497269;1.4679026474182;1.0865403968602;6.3217624219058;6.4206086269838;walk
3993.0640915382;7.5858060203664;7.8861490727772;33.957844307251;28.849735090305;bus
3906.6625840098;7.8432791622157;6.1940815154459;30.35711909469;36.896124993598;bus
44669.510527168;30.477934628565;18.618705004254;72.996443414365;54.252230728726;train
108.10740778202;1.5051524817631;0.8972049596189;2.3710391708492;2.3103074910867;walk
231815.52306338;5.7574797252915;1.7510725441965;20.435933794566;14.9900203452;bike
14685.868059857;16.225311598928;19.800308480313;35.754604972347;72.294923263524;train
2678.131584711;7.207952546471;5.8958056403499;17.48759091561;20.755622600741;bus
23756.454536787;33.998069777413;26.585059994314;50.115037500048;67.131089168751;train
10655.016625371;35.516752810572;32.265362128885;46.749135970089;69.001081059318;train
39340.333842195;7.4528446350118;1.5740297052737;12.249441655473;9.6083289456526;bike
43725.552164184;6.8704267556738;2.5843565896875;24.729854993807;14.281536983905;bike
5160.2953853383;9.4703245788198;9.9461107702303;16.279826831298;24.324489865107;car
1086.8284127551;8.7286976220386;8.5242044780181;23.258491365515;17.293202626615;bus
93325.518003296;19.548782327379;3.9057168532909;58.45832256692;33.487813944667;train
6898.413002894;2.5483046454905;5.5946767595846;10.065688250549;12.800430511251;bike
2040.8943231392;6.9985486200774;6.5345309896732;33.957844307251;28.845594334417;bus
50178.673074418;3.8272219596372;1.0934227832852;7.7522064504695;7.2379461437353;bike
25305.054869512;3.5723206366252;6.748818322319;17.918838325632;21.554937486062;bike
191078.16938006;5.4633990628401;1.8948225444093;106.98788141676;106.73971197454;bike
1133.464307497;1.5299757833823;1.02281688635;8.8165678103598;8.7696873054144;walk
8552.9442569054;1.0317254442338;1.056825301873;13.010677590548;12.980872581977;walk
3395.8352337369;1.6398158876247;1.0570353030019;27.937844779029;27.937844779029;walk
6913.6176747264;5.3209002085445;6.3071818544631;26.767567634166;26.484663114473;train
45254.993928876;18.704644179406;13.871551934235;41.33928363972;39.816872284695;train
5446.9895987596;6.6488668980231;6.2528056942345;11.981755342447;17.237953710388;bike
2484.874823115;0.27913051398944;1.1926256327836;30.367477875295;29.190311155178;bike
1662.7532085446;2.1109235892703;3.0063738838008;17.29740185871;12.409560369801;bike
913.50346980465;2.4272636558224;61.679479922091;193.27857394589;195.33291708224;walk
11479.966927397;0.38438662750389;1.9945364679485;43.733051093037;41.774078398828;bike
2272.6329381844;0.19677535467153;0.61364763025814;11.825753293551;13.591235763801;bike
5469.6988011858;6.9153057682993;7.6887533725705;15.923148446324;17.008133809991;bike
4632.9711178233;7.4462026347963;6.638880804441;14.73886914279;15.966113080761;bike
21654.768534837;13.593515115906;23.361316450554;87.331489826095;85.759135303177;car
23091.687835089;0.65834489334013;4.2732793478409;87.52628145349;47.659777666517;walk
20080.45874614;7.6001313693977;7.029334861993;29.267990249755;27.23843669637;bus
3565.7109486042;5.5149416704985;7.4767799624504;23.970849080664;20.088296538705;bus
199.24432784158;1.5297788509467;8.5841237789985;12.637695247652;23.881378134782;walk
1337.5020717895;5.8542183572818;4.8139218335323;15.275274272691;21.056747801676;bike
4534.6130186974;5.2495006534561;20.940688641923;16.488650707157;46.846902478196;bike
10673.915202091;1.068645954445;10.724867603475;543.86352733713;272.82531130518;bike
841.51339066573;0.2109899876979;5.164805036709;10.651964589886;19.468405834189;walk
973.73313447229;1.8691091496815;10.393452665739;12.638702986014;33.327885074731;bike
16139.861175332;1.2782999977358;5.7152318659215;85.936681057916;92.268881368275;bike
930.75189658158;0.67955393107287;1.6563406525879;10.429728234207;10.324272550417;bike
5178.9180841054;3.8218870460899;4.9824761542807;14.25200361391;24.683082573445;bike
1905.9033986991;0.39319483184723;1.2681259858449;15.679551424986;32.1185980118;bike
1056.5244847684;1.2085831613245;7.1612438775917;10.546623253638;24.383134239547;walk
3467.5210996642;7.2976714380214;12.557965319496;23.055659313775;57.553829012218;bike
1091.922189832;1.0228515164568;4.0130893783475;18.261965597613;22.896747071164;walk
67337.503115145;14.895324034409;11.412007160856;50.262008664883;60.365463117083;train
542.60758299302;0.78946371340137;8.9101722092088;9.5868682392242;29.043647244135;walk
5478.7718193392;1.0418017737392;5.4951430777694;24.637455435272;33.557968112395;walk
2611.5985484741;5.4020439068511;5.2687080775165;10.901310525056;14.001498294738;bike
1448.3404767119;5.1775440125749;9.1372987754388;17.157729536992;26.382346291773;bike
