distance;"mean velocity";"mean acceleration";"max velocity";"max acceleration";type
31299.443878205;4.4625363494982;1.5318332619518;13.723496666994;11.391854008027;bike
3436.1464640003;1.5638584720661;0.7601202796633;3.5023519765523;2.7467630822689;walk
2218.7344409338;1.4877095093677;0.68217712972035;2.7854171037369;2.3291582817127;walk
1788.3342664324;1.7278251818435;0.82770627075477;3.7925905124315;3.3949931975781;walk
13008.318661048;12.320824274354;6.1921540651475;22.580073250164;19.195193255734;car
2682.182172244;10.010158481684;5.1122628950133;18.51471312918;17.312289199167;car
2753.9468012008;8.3664137591995;4.2715186974011;14.53943238542;11.897345568722;car
3776.019466222;10.293843598996;5.3083119471539;26.321347315795;19.642643202239;car
2307.2605962388;9.800913194639;4.9671400662749;15.613733478934;15.264286045755;car
7809.7255301788;13.300909068897;7.1019149361323;35.047083192917;33.39006340748;car
2494.3626468173;1.5725227537043;0.7695926690431;10.377423640269;10.345158255194;walk
1856.4433415421;8.7031348738609;4.5878897836618;20.38073950415;14.634671099985;bus
1514.8609951211;9.0787685919078;5.0604111481204;30.201659580475;23.779197496682;bus
973.07262360505;1.4570069325678;0.71335525827977;1.9435187108259;1.9121047031178;walk
3949.8663058331;7.8357366892865;4.1989251340892;33.957844307251;27.528712446673;bus
3865.7866214443;8.3557680231785;4.4153765456185;30.35711909469;28.969800962861;bus
44298.295532297;32.117466122006;16.054460552458;57.087830897778;44.523855607147;train
97.460639644182;1.6848069269366;0.8407581219642;2.3710391708492;2.3103074910867;walk
198490.13438707;5.8369098491497;1.5721517474663;17.049171237282;14.100316882334;bike
14693.320277764;16.704584659666;8.4893138431393;35.754604972347;26.52384766948;train
2626.188374623;7.2741298930321;3.8083531787264;15.980945317847;13.459857373922;bus
23776.114275769;34.310372120614;17.168224806768;50.115037500048;45.85091669246;train
10641.773985602;35.739493940993;17.85055835459;46.749135970089;45.883296900279;train
19674.230764502;7.298925604019;1.5625398522605;10.539587633496;9.29663912965;bike
21853.937267706;6.5954863181406;2.3608961901541;18.126628932005;8.8231514700405;bike
5293.2907429165;9.7805177427225;5.2159741657979;28.167844040066;27.098693681082;car
1071.3341743489;8.4613761933955;4.5028107938513;23.258491365515;22.989660803276;bus
92795.751925999;22.957341536851;4.5680439894688;58.45832256692;33.487813944667;train
6871.8251994559;2.6025662654755;1.3464745249506;10.065688250549;8.2276892999514;bike
2003.8083394417;7.3336786298402;3.9891810926118;33.957844307251;27.539116202287;bus
45927.207491947;4.8325648593807;1.4171748097196;7.5422634170639;7.2379461437353;bike
6329.0429907511;5.0058195147972;2.5122647604194;9.3373165858881;7.4355063785072;bike
187913.5281076;5.6458447366604;1.8964215381508;106.98788141676;106.74615865279;bike
484.77292821942;1.4373943961322;0.6812702767453;1.9621570935595;1.8264092122353;walk
920.87454445679;1.698034712673;0.84965807705011;2.3137123174565;2.288563573492;walk
749.41325523698;1.7029806411209;0.7771991328814;2.3567070164898;2.2990104611437;walk
6706.6977242384;13.5073913823;6.7259988671043;26.554883889354;24.965860993608;train
45208.674836951;26.402469046411;13.209382964512;41.33928363972;38.687965231256;train
5426.1335845473;7.3092608434172;3.6696211309292;9.341585870083;8.5080354245087;bike
1201.3284013325;5.1256442376643;2.6194965507903;7.5851208841363;6.6067518723071;bike
661.75259693007;6.1476791697029;5.6438550257944;103.24466444875;49.050101406148;walk
32.900198856141;1.5339324284694;0.81861232624181;2.5381401391484;2.5381401391484;bike
5465.0466695507;6.9531769570375;3.5114387342242;15.923148446324;14.264137203425;bike
4630.0181473578;7.4536913550784;3.7626782285753;14.73886914279;11.685689449375;bike
21627.552483269;15.324639440944;7.7005771152628;87.331489826095;85.758840692897;car
28.119447034393;4.0170638620562;2.228090309207;6.1614043097411;6.0852335166687;walk
19905.373743621;12.626366087783;6.3362488827811;29.267990249755;20.810257177783;bus
3520.7567701615;11.827250636582;5.9712556859503;23.970849080664;16.595393996903;bus
193.65868775971;1.8729559711859;0.82092747706263;3.3392350552792;2.5236777525011;walk
1332.0080052745;6.109183957516;3.1073791132038;15.275274272691;12.790607666873;bike
4450.7368324616;6.5657879859727;3.3543763537892;13.43642752941;12.213343031927;bike
32.066625922636;3.6752192691355;2.0803913262248;5.203356935976;4.7025914205848;bike
167.09352976685;5.6505450203702;2.9565002413733;12.638702986014;7.4105723987368;bike
31.690759265684;2.5031743179045;1.3397016762169;3.3804561495044;3.3804561495044;bike
4590.7890092314;6.9915459607843;3.504208147832;12.472478915748;10.085511674038;bike
3459.8531742802;7.3578497973933;3.7657509084487;23.055659313775;16.307408164161;bike
47.447704336618;3.6942180179987;1.9507938594916;7.4142117231083;4.3730764683379;walk
67014.623019174;22.688154743551;11.174655048319;50.262008664883;44.239692069815;train
147.14121866482;1.7964394383546;0.88139478564834;3.5839847500087;2.5815704757302;walk
2579.6871073917;6.801820042005;3.4164196231201;10.140283370758;8.0133026936611;bike
1042.9157033997;6.3890387989337;3.233025892044;16.000345376008;11.920510445822;bike
14.74342695451;2.1454127280296;1.1496385888563;3.2282070990291;2.2927318058628;bike
69835.63591063;18.840411805169;9.3952570230576;65.166415553323;52.773446070679;train
331.34619287781;1.7285052638369;0.86925831153853;2.7773387338789;2.7669192723;walk
4966.0497404044;7.2514333843096;3.6219674172289;15.881165489781;13.13674554649;bike
111.07365229504;2.1951747244293;1.2247467984328;5.2477907176403;5.2314689710663;bike
1502.2764544557;6.5294246301636;3.3211972371243;13.629817241966;9.04738328487;bike
793.31997206189;4.8378948864562;2.5313025472162;9.2477434203731;8.2594423472749;bike
